location.name,collected,event.count,treatment.name,duplicate,sample.id,analyte,result,units,non.detect,method,cas.number,mdl,rl,event.type,SAMPLE.ID,LAB.ID.x,METHOD,CAS.NUMBER,ANALYTE,RESULT,UNITS,DILUTION,RESULT.REPORTED.TO,MDL,RL,flag,method.name,flow.vol.liter,long,lat,COLLECTED,RECEIVED
2200,6/29/2022,Irr 1,ARDEC 2200,FALSE,AT-01-IN,"Phosphorus, Total Orthophosphate (as P)",,mg/L,FALSE,SM4500P E - P-Ortho M4500P E,7723-14-0,0.01,0.05,,,,,,,,,,,,,,,,,,,
2200,6/29/2022,Irr 1,ARDEC 2200,TRUE,AT-01-IN-D,"Phosphorus, Total Orthophosphate (as P)",,mg/L,FALSE,SM4500P E - P-Ortho M4500P E,7723-14-0,0.01,0.05,,,,,,,,,,,,,,,,,,,
2200,6/29/2022,Irr 1,ARDEC 2200,FALSE,AT-01-OT,"Phosphorus, Total Orthophosphate (as P)",,mg/L,FALSE,SM4500P E - P-Ortho M4500P E,7723-14-0,0.01,0.05,,,,,,,,,,,,,,,,,,,
2200,6/29/2022,Irr 1,ARDEC 2200,TRUE,AT-01-OT-D,"Phosphorus, Total Orthophosphate (as P)",,mg/L,FALSE,SM4500P E - P-Ortho M4500P E,7723-14-0,0.01,0.05,,,,,,,,,,,,,,,,,,,
2200,7/13/2022,Irr 2,ARDEC 2200,FALSE,A2-02-IN,"Phosphorus, Total Orthophosphate (as P)",,mg/L,FALSE,SM4500P E - P-Ortho M4500P E,7723-14-0,0.01,0.05,,,,,,,,,,,,,,,,,,,
2200,7/13/2022,Irr 2,ARDEC 2200,TRUE,A2-02-IN-D,"Phosphorus, Total Orthophosphate (as P)",,mg/L,FALSE,SM4500P E - P-Ortho M4500P E,7723-14-0,0.01,0.05,,,,,,,,,,,,,,,,,,,
2200,7/13/2022,Irr 2,ARDEC 2200,FALSE,A2-02-OT,"Phosphorus, Total Orthophosphate (as P)",,mg/L,FALSE,SM4500P E - P-Ortho M4500P E,7723-14-0,0.01,0.05,,,,,,,,,,,,,,,,,,,
2200,7/13/2022,Irr 2,ARDEC 2200,TRUE,A2-02-OT-D,"Phosphorus, Total Orthophosphate (as P)",,mg/L,FALSE,SM4500P E - P-Ortho M4500P E,7723-14-0,0.01,0.05,,,,,,,,,,,,,,,,,,,
2200,7/19/2022,Irr 3,ARDEC 2200,FALSE,A2-03-IN,"Phosphorus, Total Orthophosphate (as P)",,mg/L,FALSE,SM4500P E - P-Ortho M4500P E,7723-14-0,0.01,0.05,,,,,,,,,,,,,,,,,,,
2200,7/19/2022,Irr 3,ARDEC 2200,TRUE,A2-03-IN-D,"Phosphorus, Total Orthophosphate (as P)",,mg/L,FALSE,SM4500P E - P-Ortho M4500P E,7723-14-0,0.01,0.05,,,,,,,,,,,,,,,,,,,
2200,7/19/2022,Irr 3,ARDEC 2200,FALSE,A2-03-OT,"Phosphorus, Total Orthophosphate (as P)",,mg/L,FALSE,SM4500P E - P-Ortho M4500P E,7723-14-0,0.01,0.05,,,,,,,,,,,,,,,,,,,
2200,7/19/2022,Irr 3,ARDEC 2200,TRUE,A2-03-OT-D,"Phosphorus, Total Orthophosphate (as P)",,mg/L,FALSE,SM4500P E - P-Ortho M4500P E,7723-14-0,0.01,0.05,,,,,,,,,,,,,,,,,,,
2200,7/27/2022,Irr 4,ARDEC 2200,FALSE,A2-04-IN,"Phosphorus, Total Orthophosphate (as P)",,mg/L,FALSE,SM4500P E - P-Ortho M4500P E,7723-14-0,0.01,0.05,,,,,,,,,,,,,,,,,,,
2200,7/27/2022,Irr 4,ARDEC 2200,FALSE,A2-04-OT,"Phosphorus, Total Orthophosphate (as P)",,mg/L,FALSE,SM4500P E - P-Ortho M4500P E,7723-14-0,0.01,0.05,,,,,,,,,,,,,,,,,,,
