location.name,collected,event.count,treatment.name,duplicate,sample.id,analyte,result,units,non.detect,method,cas.number,mdl,rl,event.type,SAMPLE.ID,LAB.ID.x,METHOD,CAS.NUMBER,ANALYTE,RESULT,UNITS,DILUTION,RESULT.REPORTED.TO,MDL,RL,flag,method.name,flow.vol.liter,long,lat,COLLECTED,RECEIVED
2200,6/7/2021,Irr 1,Outflow,FALSE,A2-01-OT-1,"Nitrogen, Nitrate (As N)",9.4,mg/L,FALSE,E300 - 300_W,14797-55-8,0.15,0.5,,,,,,,,,,,,,,,,,,,
2200,6/7/2021,Irr 1,Outflow,TRUE,A2-01-OT-1-D,"Nitrogen, Nitrate (As N)",9.5,mg/L,FALSE,E300 - 300_W,14797-55-8,0.15,0.5,,,,,,,,,,,,,,,,,,,
2200,6/7/2021,Irr 1,Outflow,FALSE,A2-01-OT-2,"Nitrogen, Nitrate (As N)",9.1,mg/L,FALSE,E300 - 300_W,14797-55-8,0.15,0.5,,,,,,,,,,,,,,,,,,,
2200,6/7/2021,Irr 1,Outflow,TRUE,A2-01-OT-2-D,"Nitrogen, Nitrate (As N)",9.1,mg/L,FALSE,E300 - 300_W,14797-55-8,0.15,0.5,,,,,,,,,,,,,,,,,,,
2200,6/15/2021,Irr 2,Outflow,FALSE,A2-02-OT-1,"Nitrogen, Nitrate (As N)",8.4,mg/L,FALSE,E300 - 300_W,14797-55-8,0.15,0.5,,,,,,,,,,,,,,,,,,,
2200,6/15/2021,Irr 2,Outflow,TRUE,A2-02-OT-D,"Nitrogen, Nitrate (As N)",8.3,mg/L,FALSE,E300 - 300_W,14797-55-8,0.15,0.5,,,,,,,,,,,,,,,,,,,
2200,6/15/2021,Irr 2,Inflow,FALSE,A2-02-IN,"Nitrogen, Nitrate (As N)",9.5,mg/L,FALSE,E300 - 300_W,14797-55-8,0.15,0.5,,,,,,,,,,,,,,,,,,,
2200,6/15/2021,Irr 2,Inflow,TRUE,A2-02-IN-D,"Nitrogen, Nitrate (As N)",9.7,mg/L,FALSE,E300 - 300_W,14797-55-8,0.15,0.5,,,,,,,,,,,,,,,,,,,
2200,6/30/2021,Irr 3,Outflow,FALSE,A2-03-OT-1,"Nitrogen, Nitrate (As N)",7.6,mg/L,FALSE,E300 - 300_W,14797-55-8,0.15,0.5,,,,,,,,,,,,,,,,,,,
2200,6/30/2021,Irr 3,Outflow,TRUE,A2-03-OT-D-1,"Nitrogen, Nitrate (As N)",7.7,mg/L,FALSE,E300 - 300_W,14797-55-8,0.15,0.5,,,,,,,,,,,,,,,,,,,
2200,6/30/2021,Irr 3,Outflow,FALSE,A2-03-OT-2,"Nitrogen, Nitrate (As N)",7.3,mg/L,FALSE,E300 - 300_W,14797-55-8,0.15,0.5,,,,,,,,,,,,,,,,,,,
2200,6/30/2021,Irr 3,Outflow,TRUE,A2-03-OT-D-2,"Nitrogen, Nitrate (As N)",7.3,mg/L,FALSE,E300 - 300_W,14797-55-8,0.15,0.5,,,,,,,,,,,,,,,,,,,
2200,6/30/2021,Irr 3,Inflow,FALSE,A2-03-IN-2,"Nitrogen, Nitrate (As N)",8.6,mg/L,FALSE,E300 - 300_W,14797-55-8,0.15,0.5,,,,,,,,,,,,,,,,,,,
2200,6/30/2021,Irr 3,Inflow,TRUE,A2-03-IN-D-2,"Nitrogen, Nitrate (As N)",8.6,mg/L,FALSE,E300 - 300_W,14797-55-8,0.15,0.5,,,,,,,,,,,,,,,,,,,
,,,,,,"Nitrogen, Nitrate (As N)",,mg/L,FALSE,E300 - 300_W,14797-55-8,0.15,0.5,,,,,,,,,,,,,,,,,,,
,,,,,,"Nitrogen, Nitrate (As N)",,mg/L,FALSE,E300 - 300_W,14797-55-8,0.15,0.5,,,,,,,,,,,,,,,,,,,
,,,,,,"Nitrogen, Nitrate (As N)",,mg/L,FALSE,E300 - 300_W,14797-55-8,0.15,0.5,,,,,,,,,,,,,,,,,,,
,,,,,,"Nitrogen, Nitrate (As N)",,mg/L,FALSE,E300 - 300_W,14797-55-8,0.15,0.5,,,,,,,,,,,,,,,,,,,
,,,,,,"Nitrogen, Nitrate (As N)",,mg/L,FALSE,E300 - 300_W,14797-55-8,0.15,0.5,,,,,,,,,,,,,,,,,,,
,,,,,,"Nitrogen, Nitrate (As N)",,mg/L,FALSE,E300 - 300_W,14797-55-8,0.15,0.5,,,,,,,,,,,,,,,,,,,
,,,,,,"Nitrogen, Nitrate (As N)",,mg/L,FALSE,E300 - 300_W,14797-55-8,0.15,0.5,,,,,,,,,,,,,,,,,,,
2200,6/7/2021,Irr 1,Outflow,FALSE,A2-01-OT-1,"Nitrogen, Total Kjeldahl",1.2,mg/L,FALSE,M4500 NH3 D - TKN_W 4500NH3 D,7727-37-9TKN,0.1,0.5,,,,,,,,,,,,,,,,,,,
2200,6/7/2021,Irr 1,Outflow,TRUE,A2-01-OT-1-D,"Nitrogen, Total Kjeldahl",,mg/L,FALSE,M4500 NH3 D - TKN_W 4500NH3 D,7727-37-9TKN,0.1,0.5,,,,,,,,,,,,,,,,,,,
2200,6/7/2021,Irr 1,Outflow,FALSE,A2-01-OT-2,"Nitrogen, Total Kjeldahl",,mg/L,FALSE,M4500 NH3 D - TKN_W 4500NH3 D,7727-37-9TKN,0.1,0.5,,,,,,,,,,,,,,,,,,,
2200,6/7/2021,Irr 1,Outflow,TRUE,A2-01-OT-2-D,"Nitrogen, Total Kjeldahl",0.87,mg/L,FALSE,M4500 NH3 D - TKN_W 4500NH3 D,7727-37-9TKN,0.1,0.5,,,,,,,,,,,,,,,,,,,
2200,6/15/2021,Irr 2,Outflow,FALSE,A2-02-OT-1,"Nitrogen, Total Kjeldahl",1.2,mg/L,FALSE,M4500 NH3 D - TKN_W 4500NH3 D,7727-37-9TKN,0.1,0.5,,,,,,,,,,,,,,,,,,,
2200,6/15/2021,Irr 2,Outflow,TRUE,A2-02-OT-D,"Nitrogen, Total Kjeldahl",0.88,mg/L,FALSE,M4500 NH3 D - TKN_W 4500NH3 D,7727-37-9TKN,0.1,0.5,,,,,,,,,,,,,,,,,,,
2200,6/15/2021,Irr 2,Inflow,FALSE,A2-02-IN,"Nitrogen, Total Kjeldahl",1.8,mg/L,FALSE,M4500 NH3 D - TKN_W 4500NH3 D,7727-37-9TKN,0.1,0.5,,,,,,,,,,,,,,,,,,,
