"location.name","treatment.name","event.type","sample.id","lab.id.x","method","cas.number","analyte","result","units","dilution","result.reported.to","mdl","rl","flag","non.detect","duplicate","method.name","event.count","flow.vol.liter","long","lat","collected","received"
"ARDEC",NA,"Outflow","A2-02-OT-ISC-D","HS23081137-02","SM4500P E - P-Ortho M4500P E","7723-14-0","Phosphorus, Total Orthophosphate (as P)",0.106,"mg/L",1,"RL",0.01,0.05,"H",FALSE,TRUE,"ISCO","Irrigation 2",NA,NA,NA,2023-08-16 03:00:00,"18 Aug 2023 09:50"
"ARDEC",NA,"Outflow","A2-02-OT-ISC-D","HS23081137-02","SM4500P E - P_TW M4500P E","7723-14-0","Phosphorus, Total (As P)",0.133,"mg/L",1,"RL",0.02,0.05,NA,FALSE,TRUE,"ISCO","Irrigation 2",NA,NA,NA,2023-08-16 03:00:00,"18 Aug 2023 09:50"
"ARDEC",NA,"Outflow","A2-02-OT-ISC-D","HS23081137-02","E160.1 - TDS_W_160.1","TDS","Total Dissolved Solids (Residue, Filterable)",1310,"mg/L",1,"RL",5,10,NA,FALSE,TRUE,"ISCO","Irrigation 2",NA,NA,NA,2023-08-16 03:00:00,"18 Aug 2023 09:50"
"ARDEC",NA,"Inflow","A2-03-IN-ISC","HS23081394-04","E300 - 300_W","14797-55-8","Nitrogen, Nitrate (As N)",9.53,"mg/L",2,"RL",0.06,0.2,NA,FALSE,FALSE,"ISCO","Irrigation 3",NA,NA,NA,2023-08-22 16:00:00,"23 Aug 2023 08:00"
"ARDEC",NA,"Inflow","A2-03-IN-ISC","HS23081394-04","E300 - 300_W","14797-65-0","Nitrogen, Nitrite  (As N)",0,"mg/L",2,"RL",0.06,0.2,NA,FALSE,FALSE,"ISCO","Irrigation 3",NA,NA,NA,2023-08-22 16:00:00,"23 Aug 2023 08:00"
"ARDEC",NA,"Inflow","A2-03-IN-ISC","HS23081394-04","SM4500P E - P-Ortho M4500P E","7723-14-0","Phosphorus, Total Orthophosphate (as P)",0.051,"mg/L",1,"RL",0.01,0.05,NA,FALSE,FALSE,"ISCO","Irrigation 3",NA,NA,NA,2023-08-22 16:00:00,"23 Aug 2023 08:00"
"ARDEC",NA,"Inflow","A2-03-IN-ISC","HS23081394-04","SM4500P E - P_TW M4500P E","7723-14-0","Phosphorus, Total (As P)",0.713,"mg/L",1,"RL",0.02,0.05,NA,FALSE,FALSE,"ISCO","Irrigation 3",NA,NA,NA,2023-08-22 16:00:00,"23 Aug 2023 08:00"
"ARDEC",NA,"Inflow","A2-03-IN-ISC","HS23081394-04","E160.1 - TDS_W_160.1","TDS","Total Dissolved Solids (Residue, Filterable)",1170,"mg/L",1,"RL",5,10,NA,FALSE,FALSE,"ISCO","Irrigation 3",NA,NA,NA,2023-08-22 16:00:00,"23 Aug 2023 08:00"
"ARDEC",NA,"Inflow","A2-03-IN-ISC-D","HS23081394-05","E300 - 300_W","14797-55-8","Nitrogen, Nitrate (As N)",9.48,"mg/L",2,"RL",0.06,0.2,NA,FALSE,TRUE,"ISCO","Irrigation 3",NA,NA,NA,2023-08-22 16:00:00,"23 Aug 2023 08:00"
"ARDEC",NA,"Inflow","A2-03-IN-ISC-D","HS23081394-05","E300 - 300_W","14797-65-0","Nitrogen, Nitrite  (As N)",0,"mg/L",2,"RL",0.06,0.2,NA,FALSE,TRUE,"ISCO","Irrigation 3",NA,NA,NA,2023-08-22 16:00:00,"23 Aug 2023 08:00"
"ARDEC",NA,"Inflow","A2-03-IN-ISC-D","HS23081394-05","SM4500P E - P-Ortho M4500P E","7723-14-0","Phosphorus, Total Orthophosphate (as P)",0.05,"mg/L",1,"RL",0.01,0.05,NA,FALSE,TRUE,"ISCO","Irrigation 3",NA,NA,NA,2023-08-22 16:00:00,"23 Aug 2023 08:00"
